X,Y
0,0.0
1,0.8414709848078965
2,0.9092974268256817
3,0.1411200080598672
4,-0.7568024953079282
5,-0.9589242746631385
6,-0.27941549819892586
7,0.6569865987187891
8,0.9893582466233818
9,0.4121184852417566
10,-0.5440211108893698
11,-0.9999902065507035
12,-0.5365729180004349
13,0.4201670368266409
14,0.9906073556948704
15,0.6502878401571168
16,-0.2879033166650653
17,-0.9613974918795568
18,-0.7509872467716762
19,0.14987720966295234
20,0.9129452507276277
21,0.8366556385360561
22,-0.008851309290403876
23,-0.8462204041751706
24,-0.9055783620066238
25,-0.13235175009777303
26,0.7625584504796027
27,0.956375928404503
28,0.27090578830786904
29,-0.6636338842129675
30,-0.9880316240928618
